Function Name,deprecated_info,Function call
__init__,"deprecated_in=""3.0""",viz.__init__
force_cached,"deprecated_in=""3.0""",viz.force_cached
process_metrics,"deprecated_in=""3.0""",viz.process_metrics
handle_js_int_overflow,"deprecated_in=""3.0""",viz.handle_js_int_overflow
run_extra_queries,"deprecated_in=""3.0""",viz.run_extra_queries
apply_rolling,"deprecated_in=""3.0""",viz.apply_rolling
get_samples,"deprecated_in=""3.0""",viz.get_samples
get_df,"deprecated_in=""3.0""",viz.get_df
df_metrics_to_num,"deprecated_in=""3.0""",viz.df_metrics_to_num
process_query_filters,"deprecated_in=""3.0""",viz.process_query_filters
dedup_columns,"deprecated_in=""3.0""",viz.dedup_columns
query_obj,"deprecated_in=""3.0""",viz.query_obj
cache_timeout,"deprecated_in=""3.0""",viz.cache_timeout
get_json,"deprecated_in=""3.0""",viz.get_json
cache_key,"deprecated_in=""3.0""",viz.cache_key
get_payload,"deprecated_in=""3.0""",viz.get_payload
get_df_payload,"deprecated_in=""3.0""",viz.get_df_payload
json_dumps,"deprecated_in=""3.0""",viz.json_dumps
has_error,"deprecated_in=""3.0""",viz.has_error
payload_json_and_has_error,"deprecated_in=""3.0""",viz.payload_json_and_has_error
data,"deprecated_in=""3.0""",viz.data
get_csv,"deprecated_in=""3.0""",viz.get_csv
get_data,"deprecated_in=""3.0""",viz.get_data
json_data,"deprecated_in=""3.0""",viz.json_data
raise_for_access,"deprecated_in=""3.0""",viz.raise_for_access
query_obj,"deprecated_in=""3.0""",viz.query_obj
get_data,"deprecated_in=""3.0""",viz.get_data
get_data,"deprecated_in=""3.0""",viz.get_data
query_obj,"deprecated_in=""3.0""",viz.query_obj
query_obj,"deprecated_in=""3.0""",viz.query_obj
get_data,"deprecated_in=""3.0""",viz.get_data
query_obj,"deprecated_in=""3.0""",viz.query_obj
get_data,"deprecated_in=""3.0""",viz.get_data
query_obj,"deprecated_in=""3.0""",viz.query_obj
to_series,"deprecated_in=""3.0""",viz.to_series
process_data,"deprecated_in=""3.0""",viz.process_data
run_extra_queries,"deprecated_in=""3.0""",viz.run_extra_queries
