Function Name,deprecated_info,Function call
AnthropicFunctions,"since=""0.0.54"",removal=""0.3"",alternative_import=""langchain_anthropic.experimental.ChatAnthropicTools"",",anthropic_functions.AnthropicFunctions
deprecated_function,"since=""2.0.0"",removal=""3.0.0"",pending=False",test_deprecation.deprecated_function
deprecated_method,"since=""2.0.0"",removal=""3.0.0""",test_deprecation.deprecated_method
deprecated_classmethod,"since=""2.0.0"",removal=""3.0.0""",test_deprecation.deprecated_classmethod
deprecated_staticmethod,"since=""2.0.0"",removal=""3.0.0""",test_deprecation.deprecated_staticmethod
deprecated_property,"since=""2.0.0"",removal=""3.0.0""",test_deprecation.deprecated_property
DeprecatedClass,"since=""2.0.0"",removal=""3.0.0""",test_deprecation.DeprecatedClass
deprecated_method,"since=""2.0.0"",removal=""3.0.0""",test_deprecation.deprecated_method
DeprecatedClass,"since=""2.0.0"",removal=""3.0.0""",test_deprecation.DeprecatedClass
deprecated_method,"since=""2.0.0"",removal=""3.0.0""",test_deprecation.deprecated_method
InheritedDeprecatedClass,"since=""2.2.0"",removal=""3.2.0""",test_deprecation.InheritedDeprecatedClass
deprecated_method,"since=""2.2.0"",removal=""3.2.0""",test_deprecation.deprecated_method
deprecated_method,"since=""2.0.0"",removal=""3.0.0""",test_deprecation.deprecated_method
get_relevant_documents,"since=""0.1.46"",alternative=""invoke"",removal=""0.3.0""",retrievers.get_relevant_documents
__call__,"""0.1.47"",alternative=""invoke"",removal=""0.3.0""",tools.__call__
__call__,"""0.1.7"",alternative=""invoke"",removal=""0.3.0""",chat_models.__call__
call_as_llm,"""0.1.7"",alternative=""invoke"",removal=""0.3.0""",chat_models.call_as_llm
predict,"""0.1.7"",alternative=""invoke"",removal=""0.3.0""",chat_models.predict
predict_messages,"""0.1.7"",alternative=""invoke"",removal=""0.3.0""",chat_models.predict_messages
__call__,"""0.1.7"",alternative=""invoke"",removal=""0.3.0""",llms.__call__
predict,"""0.1.7"",alternative=""invoke"",removal=""0.3.0""",llms.predict
predict_messages,"""0.1.7"",alternative=""invoke"",removal=""0.3.0""",llms.predict_messages
the_function_to_deprecate,'1.4.0',deprecation.the_function_to_deprecate
from_role_strings,"""0.0.1"",alternative=""from_messagesclassmethod"",pending=True",chat.from_role_strings
from_strings,"""0.0.1"",alternative=""from_messagesclassmethod"",pending=True",chat.from_strings
RunTypeEnum,"""0.1.0"",alternative=""Usestringinstead."",removal=""0.3.0""",schemas.RunTypeEnum
TracerSessionV1Base,"""0.1.0"",removal=""0.3.0""",schemas.TracerSessionV1Base
TracerSessionV1Create,"""0.1.0"",removal=""0.3.0""",schemas.TracerSessionV1Create
TracerSessionV1,"""0.1.0"",removal=""0.3.0""",schemas.TracerSessionV1
TracerSessionBase,"""0.1.0"",removal=""0.3.0""",schemas.TracerSessionBase
TracerSession,"""0.1.0"",removal=""0.3.0""",schemas.TracerSession
BaseRun,"""0.1.0"",alternative=""Run"",removal=""0.3.0""",schemas.BaseRun
LLMRun,"""0.1.0"",alternative=""Run"",removal=""0.3.0""",schemas.LLMRun
ChainRun,"""0.1.0"",alternative=""Run"",removal=""0.3.0""",schemas.ChainRun
ToolRun,"""0.1.0"",alternative=""Run"",removal=""0.3.0""",schemas.ToolRun
CohereRerank,"since=""0.0.30"",removal=""0.3.0"",alternative_import=""langchain_cohere.CohereRerank""",cohere_rerank.CohereRerank
load_agent_from_config,"""0.1.0"",removal=""0.3.0""",loading.load_agent_from_config
load_agent,"""0.1.0"",removal=""0.3.0""",loading.load_agent
